Startup Name,Startup URL,Twitter URL,LinkedIn URL,Logo URL,Description,Founding Year,Invested Year
Celon Labs,http://www.celonlabs.com/,https://twitter.com/celonlabs,http://www.linkedin.com/company/celon-laboratories-limited,https://d33wubrfki0l68.cloudfront.net/c0c3ec1afcf3240771af0b652f674dba3d31cc5d/f7e14/img/c/celon_w65_h65.jpg,Celon Labs is an oncology and critical care pharmaceutical company.,2001,2001
Citrus Payment,http://www.citruspay.com/,https://twitter.com/citruspay,https://www.linkedin.com/company/citrus-pay/,https://d33wubrfki0l68.cloudfront.net/320156883eecca0fe7aabb5068139fe1293558a8/1294f/img/c/citrus-logo_w65_h65.png,Citrus Payment is a comprehensive web and mobile payments solutions for merchants and consumers.,2011,2011
Cloud Nine,http://cloudninecare.com/,https://twitter.com/cloudninecare,http://www.linkedin.com/company/cloudnine-hospitals?trk=hb_tab_compy_id_2932936,https://d33wubrfki0l68.cloudfront.net/1f59d281a9f8c089ee22838e15af8009d3b5cf69/58a99/img/c/cloudnine_w65_h65.jpg,Cloud Nine is a chain of maternity and neonatal care hospitals.,2005,2005
Cuemath,http://www.cuemath.com/,https://twitter.com/cuemath,https://www.linkedin.com/company/cue-learn,https://d33wubrfki0l68.cloudfront.net/a75983122f971b6e69b0a4590cf12a15c157b555/87fe1/img/c/cuemath-logo_w65_h65.jpg,Cuemath is a technology-led innovative after-school math program for K8 students offered through a network of home-based learning centers.,2013,2013
Dailyhotel,http://dailyhotel.com/,https://twitter.com/dailyhotel1,https://www.linkedin.com/company/dailyhotel,https://d33wubrfki0l68.cloudfront.net/1eb4866ce104108f6313c6da1c0efac6b7e4069e/2b7e4/img/c/dailyhotel-logo_w65_h65.png,"DAILY is a lifestyle technology enabler that provides affordable access to quality experiences in accommodation, dining and travel offerings through its mobile platform.",2013,2013
Druva,http://www.druva.com/,https://twitter.com/intent/user?screen_name=druvainc,https://www.linkedin.com/company/druva,https://d33wubrfki0l68.cloudfront.net/12e52cca0805cdb7555d2cd069eff236c9491249/14d63/img/c/druva-logo_w65_h65.png,Druva is a leading provider of continuous data protection and disaster recovery solutions.,2007,2007
Edusys,http://www.edusysglobal.com/,,https://www.linkedin.com/company/edusys-pvt.-ltd.,https://d33wubrfki0l68.cloudfront.net/f67ffe867dcd9197f76b3085da888dba6cf0cd5a/87034/img/c/edusys_w65_h65.png,"Edusys offers professional certification and test preparation courses in online, classroom and hybrid formats.",2004,2004
Faasos,http://www.faasos.com/,https://twitter.com/faasos,https://in.linkedin.com/company/faasos,https://d33wubrfki0l68.cloudfront.net/ae70b8731f368dc0488edde429effdf4bc93983b/acc82/img/c/faasos_w65_h65.jpg,Faasos is a ‘food on demand’ company primarily disrupting how people order and get food delivered on mobile.,2010,2010
Fave,https://myfave.com/home,,https://www.linkedin.com/company/fave-group,https://d33wubrfki0l68.cloudfront.net/cc81f83cf9df98c4c4bd28c2b7109ce500d5cb39/00b9a/img/c/fave-logo_w65_h65.jpg,"Fave is a deals, rewards and payment platform that helps local businesses reach mobile-first customers.",2015,2015
Flyrobe,http://flyrobe.com/,https://twitter.com/flyrobe,https://www.linkedin.com/company/flyrobe-com,https://d33wubrfki0l68.cloudfront.net/afbbd3376b234ca95abcfa4a31c3038c7a8dbcdd/4aeae/img/c/flyrobe_w65_h65.jpg,Flyrobe is a fashion rental service that offers users access to premium apparel and accessories at a fraction of the retail price.,2015,2015
Freecultr,http://www.freecultr.com/,https://twitter.com/freecultr,https://in.linkedin.com/company/freecultr,https://d33wubrfki0l68.cloudfront.net/4450a7072bd6ad723d619ddbb81352b0be2c2b4d/111a0/img/c/freecultr_w65_h65.jpg,Freecultr is an online retailer for men's and women's apparel.,2011,2011
Funding Societies,https://fundingsocieties.com/,https://twitter.com/FundSocieties,https://www.linkedin.com/company/funding-societies,https://d33wubrfki0l68.cloudfront.net/a48f870e1bad85a01ddbe20ad8d68ca36fd620c5/e278a/img/c/fs-logo_w65_h65.jpg,"Funding Societies, otherwise known as Modalku in Indonesia, is a pioneering peer-to-peer lending platform in Southeast Asia.",2015,2015
Global Logic,https://www.globallogic.com/,https://twitter.com/globallogic,http://www.linkedin.com/company/globallogic?trk=cp_followed_name_globallogic,https://d33wubrfki0l68.cloudfront.net/8e389f019d02f2b407550efe5240f1e1a087cdec/39f69/img/c/global-logic_w65_h65.png,"GlobalLogic, a global product development services company, partners with emerging and established technology leaders, helping them bring great products to market in less time and at lower cost.",2000,2000
